,product_id,onsale_web,price,stock_quantity,stock_status
732,6572,1,44.0,0,outofstock
733,6573,1,68.3,12,instock
734,6575,1,41.8,1,instock
735,6578,1,40.0,0,outofstock
736,6584,1,13.5,29,instock
737,6585,1,19.0,38,instock
738,6592,1,24.4,70,instock
739,6594,0,9.1,192,instock
740,6615,1,32.8,8,instock
741,6616,1,15.4,8,instock
742,6617,1,9.9,12,instock
743,6618,1,13.5,2,instock
744,6620,1,51.0,2,instock
745,6621,1,35.2,69,instock
746,6622,1,42.2,12,instock
747,6626,1,33.2,1,instock
748,6627,1,41.8,16,instock
749,6628,1,32.2,31,instock
750,6629,1,37.7,25,instock
751,6631,1,47.2,12,instock
752,6632,1,52.7,2,instock
753,6635,1,22.4,23,instock
754,6663,1,50.4,6,instock
755,6664,1,35.6,38,instock
756,6665,1,27.7,8,instock
757,6666,1,48.5,24,instock
758,6738,1,15.4,40,instock
759,6751,1,46.5,0,outofstock
760,6753,1,46.5,29,instock
761,6821,0,28.0,21,instock
762,6824,0,28.0,8,instock
763,6825,0,24.0,5,instock
764,6826,0,18.0,11,instock
765,6864,0,40.0,32,instock
766,6866,0,40.0,42,instock
767,6869,0,40.0,4,instock
768,6875,0,40.0,17,instock
769,6884,1,46.5,12,instock
770,6886,1,42.0,0,outofstock
771,6887,1,21.8,24,instock
772,6898,0,30.0,51,instock
773,6899,0,26.0,3,instock
774,6900,0,30.0,0,outofstock
775,6901,0,20.0,0,outofstock
776,6902,0,31.0,6,instock
777,6903,0,27.0,54,instock
778,6904,0,31.0,22,instock
779,6905,0,21.0,3,instock
780,6906,0,31.0,12,instock
781,6907,0,27.0,8,instock
782,6908,0,31.0,14,instock
783,6909,0,21.0,7,instock
784,6920,1,50.5,1,instock
785,6926,1,49.9,24,instock
786,6928,1,19.0,20,instock
787,6930,1,8.4,83,instock
788,7008,0,40.0,5,instock
789,7009,0,40.0,10,instock
790,7010,0,47.0,37,instock
791,7015,0,45.0,12,instock
792,7023,1,27.5,15,instock
793,7025,1,69.0,2,instock
794,7081,0,45.0,17,instock
